Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.916082,6418263594.254973,5.30852,44.658996,46.24292
0.798751,6899059272.401334,8.98177,39.526514,39.690457
0.373035,6673691003.97414,3.01922,24.89048,25.308164
0.956936,2387102583.957895,3.66544,34.329246,49.42221
0.194043,1576163846.1205995,1.09336,2.509232,86.44182
0.34678,5282896193.705284,14.9933,107.097689,117.092803
0.865139,4197444588.1194715,4.74707,36.617072,42.663237
0.712053,3119480601.853803,1.79353,29.18509,36.43433
0.23187,6409354629.154796,1.08506,89.33306,93.247806
0.570036,6198041300.821146,3.16268,30.983025,31.991982
0.209711,1582898180.652835,5.91097,17.247781,96.137129
0.458874,6690299442.530135,1.83047,27.286147,27.689741
0.504516,2267579287.6477256,5.12755,21.70046,29.629283
0.960233,3792202443.487925,2.96735,39.52698,49.691485
0.738681,2581599186.2042465,3.45323,28.404826,37.365925
0.45129,1446644696.7912443,3.18814,16.901133,27.576891
0.667887,2793653182.353817,1.60539,27.210802,35.013701
0.593978,2754391533.1557674,3.93903,25.554474,32.897363
0.698263,5487350699.625031,2.00583,33.715696,35.991876
0.292418,5421375517.173622,0.875272,93.39021,104.71033
0.971525,4734791938.40958,0.822343,42.916696,50.652283
0.273703,4959364854.4616785,0.884667,86.05201,101.247609
0.465305,4574783754.783337,4.75256,25.062158,28.201171
0.330052,6258881122.680345,4.83755,109.049213,113.375166
0.385273,6368799535.989255,1.59389,24.524462,25.312752
0.318106,1609188252.7682533,1.25164,14.544116,109.025271
0.388356,3704574536.0582414,2.71392,21.02938,25.581617
0.798365,1472550037.890299,7.25349,25.797804,39.65163
0.913253,6333479051.607205,13.0964,44.282921,46.064999
0.925067,2598170706.9615436,6.64818,34.126124,46.959274
0.451601,3501438346.3079667,3.82674,22.732,27.643523
0.864374,2062413366.1197014,6.62856,30.057346,42.64853
0.729713,2065756202.6852236,1.01952,26.209467,36.936821
0.638811,5294880771.357392,11.7782,32.046902,34.452489
0.973874,3902919467.0775695,0.915342,40.439194,50.885916
0.127963,5688388854.436289,0.849936,51.7945,67.735244
0.485907,5599928662.114731,11.4167,27.459069,29.163578
0.819725,6107159025.762937,5.04696,38.925099,40.547857
0.281589,3616654137.333938,2.5728,78.571883,105.819465
0.920955,2764052744.322651,0.919551,34.292447,46.521216
0.419163,2631451506.070224,6.82013,20.359523,26.752755
0.768139,5240455278.575041,4.48333,35.346806,38.395913
0.541563,4948117386.25844,0.870391,27.768779,30.638235
0.403146,5012315238.870618,1.52218,23.21158,25.75186
0.151136,5040288907.772943,5.3652,74.098107,86.093515
0.355584,1882568501.832314,7.11344,16.933047,25.37176
0.774471,5058857719.929052,8.41687,35.305143,38.695465
0.995042,5054708408.604082,4.07408,45.73591,53.316928
0.247564,4418221866.872322,1.41426,77.356137,97.174508
0.653201,6056947480.754883,2.88043,33.35615,34.666261
0.138804,4196092420.832109,10.4996,67.854452,85.766769
0.807472,6279229408.476989,5.73486,38.755222,40.033951
0.261238,1639823920.986277,9.28873,46.852804,105.482261
0.495984,1874271797.3240044,2.40819,19.668576,29.137956
0.550844,3011043129.659234,5.29748,25.00061,31.369873
0.818837,1445418369.3754158,9.51972,26.268718,40.568712
0.729264,5373740551.758135,0.988881,34.262224,36.918312
0.766226,5197910351.636232,1.68947,35.102124,38.224599
0.348196,5909292455.737336,13.9481,110.798755,117.048864
0.38903,3815457042.9036736,8.25486,21.945886,26.023091
0.467269,4434497456.001612,7.55348,25.129181,28.409416
0.111082,2216296681.283472,4.60247,5.897108,70.809632
0.738149,5589445154.179331,1.09114,34.935629,37.217401
0.635988,2811444762.0365286,1.80196,26.564781,34.097195
0.65457,3724583147.284649,6.06541,29.429344,34.813772
0.700373,2940625558.8578634,3.72804,28.567176,36.140521
0.399618,3261543797.588735,4.93845,20.895148,26.078117
0.175697,6012633878.7363405,2.3181,80.701312,87.465951
0.478616,6566813974.71446,5.75822,28.205539,28.738178
0.836788,2462653770.9214134,1.09335,30.371337,41.162412
0.193837,3760018387.1416016,1.35952,53.928769,87.237396
0.392588,6183610634.832884,4.68114,24.934973,25.883347
0.738416,3831677345.412814,8.64771,31.790659,37.462537
0.214716,5428645164.991578,3.5792,85.469443,94.941698
0.24438,1047425708.6631072,1.35292,2.077187,96.376514
0.929808,6860901585.364431,4.65691,46.84663,47.301754
0.32696,4236853719.575264,3.83616,93.49508,112.568572
0.863622,1669082686.242354,7.146,28.398991,42.613899
0.249255,5679921486.095436,1.39339,88.661929,97.476748
0.197582,5409061292.117447,10.6442,87.704019,96.140568
0.390088,1678677018.2920358,9.73806,17.480822,26.097271
