Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.898047,5582513038.913435,3.24345,47.848331,53.99948
0.150848,6308947892.843511,2.84793,61.424104,65.775221
0.707995,6094715374.12507,4.78872,62.331652,67.041941
0.750639,6786618629.655526,3.62258,62.253247,63.270625
0.408638,2520786134.210206,4.37355,38.35822,72.162255
0.758229,1073139985.3949556,10.279,23.645179,63.336185
0.565708,6995405548.739024,13.5935,77.984225,77.984225
0.765955,1187837958.6549938,1.30168,21.307179,61.373328
0.285132,4379077379.42186,13.9616,55.430961,72.997388
0.29369,3552634764.5488615,3.26824,44.026753,69.845258
0.168591,3178699996.8238406,6.45975,39.643032,68.292902
0.608171,2529704690.8050203,5.41026,43.299333,75.41242
0.424983,3645455199.8430524,5.94473,50.450732,73.421335
0.159287,5841918708.401543,3.60971,58.838041,66.516669
0.125968,4399914880.546049,3.44919,46.978985,66.044182
0.356343,2615896805.9451675,1.39324,33.146764,68.729898
0.861826,5081582959.86993,1.79706,46.845289,55.512148
0.391327,4203393322.1447263,12.3683,55.610002,73.639665
0.398185,6160511484.747909,4.23322,66.544732,71.756101
0.312592,6132525059.216782,1.23653,62.123777,67.924685
0.848304,6295549935.496282,3.40028,53.54147,56.580438
0.846168,1339353493.5154467,3.73437,23.184687,56.752783
0.798812,3915843526.021011,9.15101,44.691697,60.230014
0.464373,3538424805.6987605,2.83372,49.510131,74.199233
0.207777,1375038480.1723385,5.48163,14.556893,68.189257
0.576614,5848083580.480096,4.66993,69.355632,76.449654
0.181809,3974036630.0750294,1.68491,41.401604,64.234659
0.903655,3162630649.060788,4.38442,35.292165,53.927422
0.813273,4500194527.684459,1.29358,45.814789,58.222749
0.550471,3022700721.3040223,4.84852,48.175967,76.864893
0.911272,1467796983.3192852,3.73114,23.025404,53.57335
0.707871,3493274442.387682,2.02913,45.561414,66.380865
0.474721,2632359319.587451,2.12101,40.380677,74.235805
0.189048,5099927420.954256,11.1155,57.006245,68.980476
0.330868,1740896399.238443,3.25936,24.008413,70.315333
0.652344,4989692080.900865,1.76613,59.034156,70.928935
0.130433,2071454857.4795015,5.80756,22.754446,67.629598
0.49711,3265699478.955952,2.36248,47.896927,75.255005
0.893477,3968785470.7675657,6.02392,40.460237,54.46056
0.794956,5874341463.317588,6.33597,54.963752,60.265485
0.404142,2171988501.9718,9.96778,37.173319,73.547696
0.855742,3929492632.3055634,9.75309,42.154162,56.646014
0.864258,1333746027.3924646,0.856355,21.061558,55.041651
0.699253,6056530247.524974,5.99884,63.021148,67.91382
0.106737,3553217750.651195,1.34652,30.232962,62.825624
0.91064,4149024421.2751617,1.64465,39.905324,53.276607
0.554989,6654471223.1054125,1.13359,72.86318,74.9627
0.645808,2795904866.9802594,3.04922,43.601033,72.020183
0.367095,3939228309.9137993,1.07914,46.087477,68.363269
0.258557,4959915260.570869,9.79527,57.972854,71.241569
0.827978,3543090370.6618114,6.20578,40.771037,58.137513
0.425622,2327514310.7348423,3.48979,36.169315,72.495765
0.948583,4321550597.9431305,10.5642,39.460396,51.623177
0.145964,2304983740.068298,7.8126,29.713052,68.610271
0.362585,1159793275.7670672,3.81521,15.15661,70.891361
0.666605,3570417518.85545,1.49247,47.938754,69.516859
0.124613,3408704588.824651,1.96572,33.720886,64.215701
0.26671,3213617738.723496,2.29895,38.48237,68.080148
0.144722,2491852769.019697,0.820793,12.991642,61.846401
0.103379,1817793302.2414942,6.53289,12.39385,69.087208
0.111007,6761165748.577775,1.74742,62.187023,63.833793
0.37398,5304587576.106811,2.10804,58.852924,69.852006
0.646201,3338936368.7896433,5.76903,49.09055,72.599502
0.117868,3486654053.7080746,2.89343,36.265811,65.455795
0.717008,2042551211.771165,5.1495,34.343736,66.356297
0.639572,3460647614.551162,4.80543,50.147423,72.999187
0.476415,5076738107.961073,2.50564,62.04218,74.586165
0.506241,3589060077.1129065,3.48401,51.89782,76.041301
0.822392,1854033633.3084621,0.840161,26.840703,57.431615
0.631334,1144375232.3433886,10.3178,27.855285,74.452888
0.365316,5838615530.220847,2.93596,63.015801,70.389483
0.845845,4229807304.727177,12.7069,44.363452,57.367737
0.937916,6635487749.20107,0.809837,49.686381,51.483887
0.221673,2635779949.0138063,2.3054,30.290477,66.246782
0.423966,5151396971.017662,1.98336,59.30033,71.394155
0.375794,2252751335.932684,4.81699,34.369926,71.527023
0.614899,1845632707.654886,4.89441,35.705421,74.897602
0.879681,2612807661.2637224,1.07631,31.688713,54.373007
0.452441,3269237533.7885575,3.70485,47.188298,74.015627
0.523349,3035914344.6710134,9.17777,49.376692,77.677448
0.78118,3358794146.433052,1.65517,40.613768,60.404071
0.327518,5572522181.93349,0.842664,57.552886,67.261957
0.713125,6174157122.168627,12.251,63.116185,67.342199
0.933131,4311947039.935032,1.14897,39.356225,51.92296
0.202932,5152252225.798896,1.30235,51.865207,64.538774
0.169676,1201504004.007794,2.40351,3.188424,65.672572
0.90483,3590255634.102018,3.42325,37.547865,53.788645
0.83801,3896785782.2709394,4.88847,42.302089,57.382141
0.923336,5793479697.332339,3.37274,47.231515,52.919381
0.487811,5242233895.448858,10.1488,66.158985,77.23098
0.395438,1406873736.0495014,1.12646,13.556932,69.140266
0.702235,4045026517.0177045,0.835408,48.81744,66.106418
0.142863,5339123811.537576,6.00297,57.15826,67.808915
0.792557,5964746748.747581,2.91305,55.018543,59.965763
0.660441,6734353882.207184,4.1806,69.632089,71.007462
0.483892,5735040896.015314,1.70335,66.092443,74.296162
0.896796,4102842257.3221684,2.76515,40.556795,53.989207
0.669927,1198827743.1347017,0.944847,21.849475,68.817969
0.241247,2097890824.342059,3.96978,26.75084,68.318957
0.36634,3729645194.071784,14.1345,51.640804,73.573107
0.812668,1676278884.6252542,1.60985,26.200244,58.381872
0.927445,2380601507.4472003,3.45908,29.285559,52.684088
0.686565,3755920148.849993,1.05917,47.802139,67.508635
0.627208,5545114150.661617,3.23326,65.070306,73.59976
0.696405,5662540421.832331,3.62108,60.581885,67.73165
0.55178,5958247704.845798,5.74883,70.728129,77.079018
0.525877,1920512006.6338763,2.1517,33.604279,75.662451
0.181907,4383813763.379158,1.21497,43.933749,63.330171
0.299101,5107982965.642263,1.63636,55.143502,68.332273
0.403198,1051527928.5245447,4.351,15.986475,71.960426
0.52913,4129390063.770405,1.75747,55.648464,75.418744
0.406156,1075991929.8988624,2.97666,13.772281,71.35151
0.652203,2320010139.248313,8.65291,40.494228,72.438239
0.500302,1989071751.5780807,1.81845,33.088545,74.938642
0.953821,3109809765.4798517,14.2422,33.227943,51.325896
0.191844,3651102300.5882344,1.59813,38.383328,64.058579
0.13095,4816231790.56468,1.26892,46.47357,62.866192
0.435623,6835464272.548806,9.46965,73.803276,74.763783
