Pri_dMass,Pri_dTidaLQ,Sec_dMass,Sec_dTidalQ,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.699912,637545.0,0.446224,899790.0,4880979708.306911,4450085605.580215,3866941464.4731936,1.81548,52.290689,62.376188,8.9464,56.333761,62.376188,0.023993,0.023992,0.023993,62.3757,62.376188,62.37741
0.246991,12675.9,0.222422,1606820.0,1898105263.1578948,4143233988.5859227,2029652085.2554193,7.89642,45.671119,45.666766,1.84346,19.524299,45.666766,0.113997,0.113946,0.11403,45.6582,45.666766,45.671119
0.334402,158628.0,0.185098,23672800.0,2108897590.3614457,2187161065.313887,3170249740.6910295,2.97153,31.768865,31.758124,10.9605,31.768865,31.758124,0.172669,0.172602,0.172673,31.7662,31.758124,31.768865
0.816686,64259300.0,0.291332,77166.3,2723833861.7628407,2341064362.714014,1819958873.7736166,2.45773,27.942007,35.496299,0.817621,15.103017,35.496299,0.107635,0.107603,0.107662,35.5014,35.496299,35.507781
0.595406,1378470.0,0.336073,961648.0,-3.170577045022194e-08,-3.170577045022194e-08,5553995355.450501,5.69296,67.884576,77.009701,1.95533,60.164097,70.03631,0.040912,0.040912,0.040912,91.4272,91.427471,91.427418
0.338493,15579.2,0.160109,3501690.0,2830814521.242866,2958622701.331642,5994619256.367266,0.911121,40.487144,40.485097,12.2352,40.487144,40.485097,0.270254,0.270284,0.270287,60.7279,60.727646,60.730716
0.930803,989723.0,0.394685,183532.0,-3.170577045022194e-08,-3.170577045022194e-08,5664164130.169672,4.56747,47.350035,54.493404,1.17045,63.96432,74.751884,0.080282,0.080284,0.080283,96.7369,96.738411,96.738073
0.163739,93930.5,0.124574,12520900.0,269945.9099556119,1206623018.3893468,6392688570.237055,13.6683,6.225036,6.217112,5.6852,6.225036,6.217112,0.066136,0.039964,0.041154,6.30051,6.217112,6.225035
0.90405,87716700.0,0.413019,43695.3,-3.170577045022194e-08,4524904882.688649,6838606537.342333,7.38221,53.436422,54.149859,1.01251,66.074839,66.074808,0.237821,0.237825,0.237825,99.1108,99.112213,99.112259
0.277541,5239950.0,0.238999,637796.0,1779527901.0779963,1867445783.1325302,5509103469.584445,3.35097,22.699466,22.692834,3.09305,22.699466,22.692834,0.178957,0.17892,0.178939,22.7119,22.692834,22.699466
0.980708,7068290.0,0.32614,2411510.0,1595448636.6518707,1124912175.015853,4904410793.264616,0.970766,22.740588,22.726933,12.1446,22.740588,22.726933,0.101533,0.101333,0.10143,22.7562,22.726933,22.740588
