Pri_dMass,Pri_dTidalTau,Sec_dMass,Sec_dTidalTau,Pri_LockTime,Sec_LockTime,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal,Sec_ProtInitial,Sec_ProtAge,Sec_ProtFinal,Initial_Ecc,Final_Ecc,Age_Ecc,Initial_Porb,Final_Porb,Age_Porb
0.926107,0.2297871932,0.262062,0.02855887074,5364676601.141408,3442663284.7178187,4807349137.031838,12.0495,44.58436,47.541782,13.6359,47.544098,47.541782,0.077456,0.077457,0.077461,49.2532,49.254034,49.256593
0.578036,0.001050253614,0.298284,0.0768680264,6000516804.058338,6608744451.490171,5022217823.595158,0.916018,61.556908,68.967925,4.92547,57.643782,68.967925,0.087857,0.087857,0.087857,72.1647,72.16427,72.164905
0.601487,0.01173739022,0.102705,0.001806198026,4992409638.554217,5942450856.055802,1423883787.8983994,2.88505,28.786651,63.068439,7.43938,6.836452,63.068439,0.286685,0.286685,0.286685,95.0162,95.010943,95.016238
0.70134,0.602234222,0.418653,0.058566941399999996,-3.170577045022194e-08,-3.170577045022194e-08,5062654472.674311,4.67116,57.817061,68.524128,12.6459,62.450239,74.573694,0.102542,0.102544,0.102544,96.2292,96.230766,96.230717
0.312575,0.209234783,0.241287,0.1970830518,-3.170577045022194e-08,-3.170577045022194e-08,1430778685.9509509,2.76343,15.923775,69.884684,2.49975,9.181481,67.283385,0.019907,0.019908,0.019908,76.2421,76.243333,76.243299
0.478913,0.685266426,0.248519,0.0022350978699999997,5983747622.067216,6797726696.258719,4961469371.598572,1.02804,59.754564,67.668517,3.86229,54.928169,67.668517,0.193826,0.193855,0.193855,83.0276,83.035644,83.036322
0.186344,0.001528803726,0.118999,0.01376556992,4806940393.151553,5769457831.325301,3573350279.60916,7.61412,43.841703,54.300316,1.29883,32.230295,54.300316,0.152563,0.152563,0.152563,61.9096,61.90888,61.909725
0.88186,0.1290670418,0.257986,0.004992214280000001,-3.170577045022194e-08,-3.170577045022194e-08,5538539864.012939,2.19339,48.465639,54.860418,1.74681,57.214874,67.026152,0.103439,0.103441,0.103441,83.0705,83.071613,83.07158
0.62572,0.438898024,0.100444,0.018767151580000002,2480790741.9150286,3521097019.6575775,6234245757.344109,1.63216,40.606893,40.602997,6.05813,40.606893,40.602997,0.242336,0.242392,0.242393,55.1538,55.133449,55.138839
0.789302,0.0436469444,0.593998,0.02029214212,1062344958.7824984,912988902.9803424,4147190533.230981,14.2733,24.18358,24.16715,8.11139,24.18358,24.16715,0.069179,0.069142,0.069166,24.8932,24.860617,24.878002
0.450646,0.02334713806,0.11757,0.0022535519239999997,2970646163.6017756,5195802155.992391,2832687690.910411,10.2866,45.729524,47.447681,0.847717,14.380401,47.447681,0.284429,0.284429,0.284429,71.0969,71.085041,71.096981
0.401066,0.42552506399999995,0.189502,0.01642196334,1911819277.1084337,2708665187.0640454,6561357762.783161,3.74686,30.809057,30.807685,2.77073,30.809057,30.807685,0.252677,0.252766,0.252767,42.8322,42.824247,42.826241
0.893318,0.12268649980000002,0.739516,0.0020303496520000003,-3.170577045022194e-08,5795932149.651237,2024926919.3270938,1.68283,27.62333,54.840003,1.02138,30.9713,57.715756,0.278987,0.279,0.279001,85.3318,85.335237,85.335512
0.932996,0.653704348,0.333605,0.88371926,-3.170577045022194e-08,5256442612.555485,2333890448.420246,2.26085,29.773985,56.012836,1.10406,28.062319,57.849167,0.155944,0.156046,0.156051,66.3,66.331334,66.33019
0.388856,0.21590990859999998,0.131644,0.19291882559999998,3252086239.695625,3816540900.4438806,6672903206.208473,6.38602,46.416084,46.415562,8.29436,46.416084,46.415562,0.198326,0.198332,0.198332,57.4606,57.454874,57.455525
0.978461,0.052568979599999996,0.484927,0.00638110972,-3.170577045022194e-08,3337844007.609385,4947073165.192103,1.6804,40.391336,49.952334,12.5379,52.623864,52.623358,0.111222,0.11123,0.111231,56.5328,56.534875,56.535479
0.754837,0.01227893202,0.665267,0.02025000468,1307248890.2980342,1237920101.4584653,1353971868.3402433,3.11718,24.873438,24.846312,2.03179,24.873438,24.846312,0.296896,0.296938,0.296954,38.43,38.393062,38.436531
0.129882,0.00510099574,0.110719,0.734453056,6787282815.472416,-3.170577045022194e-08,5296173742.506473,6.89735,56.971477,67.510937,0.800386,47.413004,61.014704,0.241146,0.24116,0.24116,91.4155,91.419677,91.419706
0.22215,0.923071718,0.164761,0.00286324851,360046290.4248573,2086012999.3658845,2070699801.0836372,8.78018,12.624136,12.571607,1.37008,12.098789,12.571607,0.108783,0.107927,0.108733,13.4888,13.451284,13.520766
0.824199,0.0853608022,0.745845,0.033638356200000004,-3.170577045022194e-08,6409051997.463538,4971301953.355623,10.5163,50.119721,59.693051,1.82778,52.936431,61.190138,0.008926,0.008926,0.008926,61.2179,61.219392,61.219533
0.91522,0.00994730598,0.835581,0.1548989326,6351797717.184527,5023056436.271401,1987697148.7372327,0.968152,26.132308,50.491341,6.56275,30.674729,50.491341,0.213064,0.213074,0.213077,64.3781,64.380149,64.381271
0.200396,0.6169224,0.176261,0.1826951346,5604543436.905517,6131030437.539632,5525047373.501472,12.8785,61.363583,62.432658,5.55174,57.938764,62.432658,0.281621,0.281623,0.281623,92.8978,92.897936,92.89845
0.632554,0.333522884,0.268174,0.001587241038,256487159.16296765,1726733354.4705136,2051596349.4528615,10.3391,12.806112,12.698952,1.26638,12.806112,12.698952,0.160571,0.155021,0.15949,14.7997,14.536424,14.768114
0.848168,0.171997082,0.122483,0.003049419668,884213696.8928345,1474380786.3031073,2158248618.6089644,6.13754,19.360027,19.263207,14.8136,19.360027,19.263207,0.090213,0.089989,0.090259,20.3154,20.199859,20.307054
0.924666,0.02256964552,0.209191,0.02612414044,78953043.75396322,205048.98541534558,6161828431.892179,1.68466,1.504088,0.756473,4.31428,1.504088,0.756473,0.015599,0.0,0.0,4.0928,0.75647,1.504043
0.746301,0.00823891034,0.510731,0.30961903339999997,1240032339.8858593,1004550095.1173114,4873821265.392191,1.04142,22.188413,22.175048,2.59057,22.188413,22.175048,0.214569,0.215082,0.215144,28.3805,28.392223,28.413001
0.223411,0.0018706468620000001,0.112941,0.00423257338,2920196892.834496,2400541851.6169944,2961896673.2629757,0.966344,29.578917,29.571373,8.829,29.578917,29.571373,0.295049,0.29505,0.29505,45.4913,45.479529,45.491133
0.886028,0.059919376600000004,0.594085,0.00799542154,473089093.2149651,669619847.8123019,3131993746.290635,10.8676,14.971433,14.932721,3.40401,14.971433,14.932721,0.208967,0.207501,0.208572,18.9534,18.825061,18.914852
0.188212,0.0652332358,0.179323,0.0011309991680000001,409050412.17501587,1065408687.3811034,6647130803.105052,2.10457,5.583637,5.580533,5.0231,5.583637,5.580533,0.257663,0.258976,0.259168,7.85436,7.86891,7.876781
0.362388,0.09252259,0.33157,0.0057410054200000005,1306784400.7609384,1627487951.8072288,5557437549.430054,3.03814,19.274977,19.263256,2.00958,19.274977,19.263256,0.031075,0.031134,0.031138,19.3931,19.375301,19.387115
0.896085,0.0034266633,0.173727,0.0012416446420000001,-3.170577045022194e-08,-3.170577045022194e-08,4882301343.482321,6.58827,44.944782,54.381245,8.1747,54.705735,68.855957,0.008465,0.008465,0.008465,92.3978,92.397809,92.397808
0.368407,0.23627528660000002,0.155242,0.6946811159999999,3951341154.0900445,5310310716.550412,4190969371.992749,6.77033,51.933879,51.931384,1.12281,41.359525,51.931384,0.283685,0.283722,0.283722,77.6634,77.668144,77.671911
0.433122,0.0301792067,0.353196,0.12109909159999999,1151465123.6525047,588387444.5149018,1224665488.516299,0.852334,10.981783,10.819887,5.48074,10.981783,10.819887,0.254832,0.257603,0.258663,15.286,15.20833,15.473795
0.576344,0.0713980442,0.26331,0.663860228,4389448319.594166,4901328471.781864,5986169111.221814,1.19932,57.899122,57.898051,6.50197,57.899122,57.898051,0.098001,0.09801,0.09801,61.2375,61.238141,61.23928
